feat_values_sorted	pred_f_3d_avg_sorted	pred_f_3d_sd_sorted	pred_f_3d_max_sorted	pred_f_3d_min_sorted
-2.42180	-0.23716	0.07539	-0.12553	-0.34865
-2.15501	-0.22895	0.06061	-0.13913	-0.31000
-2.06964	-0.21021	0.05454	-0.13203	-0.29777
-1.95225	-0.18504	0.03788	-0.12263	-0.24910
-1.94158	-0.17091	0.02297	-0.12179	-0.20137
-1.71747	-0.18010	0.03956	-0.10492	-0.24796
-1.70680	-0.18337	0.03145	-0.15236	-0.24646
-1.66412	-0.17718	0.04244	-0.10109	-0.24048
-1.63210	-0.16586	0.03256	-0.09881	-0.21238
-1.62143	-0.17478	0.03810	-0.09806	-0.23451
-1.54673	-0.16804	0.03648	-0.09286	-0.22409
-1.50404	-0.16975	0.02623	-0.13820	-0.21814
-1.45069	-0.13517	0.02320	-0.08634	-0.15584
-1.44002	-0.15729	0.02431	-0.13344	-0.20924
-1.41867	-0.13642	0.02880	-0.08421	-0.17075
-1.38666	-0.14761	0.03022	-0.08209	-0.18445
-1.37599	-0.15065	0.03630	-0.08139	-0.20035
-1.36531	-0.15048	0.03552	-0.08069	-0.19887
-1.32263	-0.14022	0.02824	-0.07791	-0.17715
-1.29061	-0.14651	0.03545	-0.07585	-0.18853
-1.29061	-0.16621	0.01555	-0.14080	-0.18853
-1.25860	-0.14285	0.03255	-0.07380	-0.18410
-1.25860	-0.14272	0.03259	-0.07380	-0.18410
-1.22658	-0.13773	0.03370	-0.07177	-0.17967
-1.19457	-0.13659	0.03144	-0.06975	-0.17524
-1.18390	-0.14487	0.02194	-0.11318	-0.17377
-1.18390	-0.13477	0.02955	-0.06908	-0.17377
-1.16256	-0.12896	0.02950	-0.06774	-0.17082
-1.14121	-0.12791	0.03101	-0.06641	-0.16788
-1.13054	-0.12215	0.03064	-0.06575	-0.16640
-1.08785	-0.12211	0.02780	-0.06312	-0.16051
-1.05584	-0.11690	0.02764	-0.06116	-0.15609
-1.00248	-0.11521	0.02581	-0.05791	-0.14874
-0.98114	-0.11346	0.02681	-0.05662	-0.14579
-0.97047	-0.11208	0.02528	-0.05598	-0.14432
-0.95980	-0.11103	0.02510	-0.05534	-0.14285
-0.92778	-0.10414	0.02478	-0.05342	-0.13844
-0.91711	-0.10295	0.02654	-0.05278	-0.13866
